date,match_id,team_1_name,team_1_goalsScored,team_1_halfTimeGoalsScored,team_1_cornerCount,team_1_shots,team_1_shotsOnTarget,team_1_foulsConceded,team_1_yellowConceded,team_1_redConceded,team_1_result,team_1_goalsConceded,team_1_halfTimeGoalsConceded,team_1_cornersConceded,team_1_shotsConceded,team_1_shotsOnTargetConceded,team_1_foulsReceived,team_1_yellowOpponent,team_1_redOpponent,team_1_home_or_away,team_1_average_goalsScored_last_five,team_1_average_halfTimeGoalsScored_last_five,team_1_average_cornerCount_last_five,team_1_average_shots_last_five,team_1_average_shotsOnTarget_last_five,team_1_average_foulsConceded_last_five,team_1_average_yellowConceded_last_five,team_1_average_redConceded_last_five,team_1_average_result_last_five,team_1_average_goalsConceded_last_five,team_1_average_halfTimeGoalsConceded_last_five,team_1_average_cornersConceded_last_five,team_1_average_shotsConceded_last_five,team_1_average_shotsOnTargetConceded_last_five,team_1_average_foulsReceived_last_five,team_1_average_yellowOpponent_last_five,team_1_average_redOpponent_last_five,team_1_promoted,team_1_win_streak_before_match,team_1_unbeaten_streak_before_match,team_2_name,team_2_goalsScored,team_2_halfTimeGoalsScored,team_2_cornerCount,team_2_shots,team_2_shotsOnTarget,team_2_foulsConceded,team_2_yellowConceded,team_2_redConceded,team_2_result,team_2_goalsConceded,team_2_halfTimeGoalsConceded,team_2_cornersConceded,team_2_shotsConceded,team_2_shotsOnTargetConceded,team_2_foulsReceived,team_2_yellowOpponent,team_2_redOpponent,team_2_home_or_away,team_2_average_goalsScored_last_five,team_2_average_halfTimeGoalsScored_last_five,team_2_average_cornerCount_last_five,team_2_average_shots_last_five,team_2_average_shotsOnTarget_last_five,team_2_average_foulsConceded_last_five,team_2_average_yellowConceded_last_five,team_2_average_redConceded_last_five,team_2_average_result_last_five,team_2_average_goalsConceded_last_five,team_2_average_halfTimeGoalsConceded_last_five,team_2_average_cornersConceded_last_five,team_2_average_shotsConceded_last_five,team_2_average_shotsOnTargetConceded_last_five,team_2_average_foulsReceived_last_five,team_2_average_yellowOpponent_last_five,team_2_average_redOpponent_last_five,team_2_promoted,team_2_win_streak_before_match,team_2_unbeaten_streak_before_match
2000-08-21,213466,Arsenal,2,1,10,17,12,25,2,1,3.0,0,0,11,7,4,20,4,2,Home,0.0,0.0,9.0,14.0,7.0,21.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,2.0,10.0,3.0,0.0,0,0,0,Liverpool,0,0,11,7,4,20,4,2,0.0,2,1,10,17,12,25,2,1,Away,1.0,0.0,6.0,16.0,10.0,8.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,2.0,8.0,1.0,0.0,0,1,1
2000-08-26,213475,Arsenal,5,1,8,18,9,12,0,0,3.0,3,2,3,7,4,15,1,0,Home,1.0,0.5,9.5,15.5,9.5,23.0,1.5,1.0,1.5,0.5,0.0,6.5,7.5,3.0,15.0,3.5,1.0,0,1,1,Charlton,3,2,3,7,4,15,1,0,0.0,5,1,8,18,9,12,0,0,Away,2.0,1.0,5.5,12.5,9.0,14.0,1.0,0.5,1.5,1.5,0.0,4.5,10.5,6.0,14.5,2.0,0.0,0,0,0
2000-09-16,213505,Arsenal,2,1,8,18,13,5,1,0,3.0,1,0,4,6,2,13,2,0,Home,2.0,0.4,8.6,16.0,8.8,18.6,1.2,0.4,1.6,1.4,0.8,5.4,8.6,4.0,15.6,2.2,0.4,0,0,4,Coventry,1,0,4,6,2,13,2,0,0.0,2,1,8,18,13,5,1,0,Away,1.0,0.8,6.0,8.8,4.0,14.6,2.8,0.2,1.4,1.4,0.4,5.8,13.2,5.8,15.6,2.6,0.0,0,0,1
2000-10-01,213532,Arsenal,1,1,3,7,5,18,2,0,3.0,0,0,11,13,4,17,3,0,Home,2.2,0.4,7.8,15.4,8.4,13.0,1.2,0.0,1.8,1.6,0.8,4.4,10.2,4.4,13.8,1.4,0.0,0,0,6,Man Utd,0,0,11,13,4,17,3,0,0.0,1,1,3,7,5,18,2,0,Away,3.4,2.0,5.4,14.4,7.6,13.0,1.0,0.0,2.2,1.2,0.4,4.4,9.4,4.4,13.0,2.2,0.0,0,0,7
2000-10-14,213535,Arsenal,1,0,7,16,10,12,1,0,3.0,0,0,4,8,3,20,4,1,Home,1.4,0.4,6.8,13.2,7.6,14.2,1.6,0.0,1.8,1.0,0.4,6.0,11.4,4.4,14.2,1.8,0.0,0,1,7,Aston Villa,0,0,4,8,3,20,4,1,0.0,1,0,7,16,10,12,1,0,Away,2.0,0.8,5.2,10.6,5.4,8.4,1.2,0.0,2.0,1.2,0.6,6.0,11.4,5.4,8.4,1.4,0.0,0,1,4
2000-10-28,213555,Arsenal,5,1,10,22,14,6,0,0,3.0,0,0,4,6,2,13,3,1,Home,1.4,0.8,5.8,12.8,7.4,11.8,1.2,0.0,2.6,0.6,0.0,5.6,11.0,3.6,14.6,2.2,0.2,0,3,9,Man City,0,0,4,6,2,13,3,1,0.0,5,1,10,22,14,6,0,0,Away,1.0,0.6,6.2,10.2,5.4,14.0,1.2,0.0,1.6,0.4,0.0,6.2,13.2,4.8,11.8,1.8,0.0,0,2,2
2000-11-11,213575,Arsenal,0,0,10,15,9,12,0,0,1.0,0,0,0,9,2,13,2,0,Home,2.0,1.0,6.4,13.8,8.4,11.6,0.8,0.0,3.0,0.2,0.0,5.8,8.4,3.0,15.0,2.4,0.6,0,5,11,Derby,0,0,0,9,2,13,2,0,1.0,0,0,10,15,9,12,0,0,Away,0.6,0.4,4.6,9.2,3.4,13.4,1.6,0.0,0.2,2.6,1.2,4.8,12.2,7.4,9.8,0.8,0.0,0,0,1
2000-12-02,213605,Arsenal,1,0,16,24,12,14,0,0,3.0,0,0,8,7,5,15,2,0,Home,1.2,0.4,7.4,12.2,7.2,12.6,1.8,0.0,1.4,0.6,0.0,4.0,7.0,3.0,15.0,2.0,0.4,0,0,0,Southampton,0,0,8,7,5,15,2,0,0.0,1,0,16,24,12,14,0,0,Away,1.8,1.2,5.4,9.8,4.4,13.6,1.2,0.0,1.4,2.4,1.0,6.8,11.8,5.6,9.8,1.0,0.0,0,0,0
2000-12-09,213615,Arsenal,5,2,5,15,10,10,0,0,3.0,0,0,2,3,1,11,3,0,Home,0.4,0.2,8.6,12.6,6.8,14.2,1.8,0.0,1.4,0.6,0.0,4.8,7.2,3.6,15.4,1.8,0.2,0,1,1,Newcastle,0,0,2,3,1,11,3,0,0.0,5,2,5,15,10,10,0,0,Away,1.4,0.6,3.6,11.0,5.4,13.4,1.4,0.0,1.6,1.2,0.4,5.4,9.2,5.6,13.2,1.6,0.0,0,0,2
2000-12-26,213645,Arsenal,6,1,14,27,15,14,0,0,3.0,1,0,0,2,2,11,0,0,Home,1.4,0.4,7.0,15.4,8.2,14.8,1.6,0.0,1.4,1.2,0.4,5.4,8.4,4.4,16.6,2.0,0.0,0,0,0,Leicester,1,0,0,2,2,11,0,0,0.0,6,1,14,27,15,14,0,0,Away,1.6,1.0,5.8,9.0,4.4,11.6,1.4,0.2,1.8,1.4,1.0,5.8,12.4,5.6,12.0,1.0,0.2,0,2,2
